Category,Manufacturer,Name,Conductivity {W/m-K},Thermal Diffusivity [mm2/s],Specific Heat {J/kg-K},Thermal Effusivity [Ws0.5/m2?K],Density {kg/m3},Roughness,Thermal Absorptance,Solar Absorptance,Visible Absorptance,Source,Date
Raw material,Thermtest,boron,2.092,0.74,1130,2431,2500,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,boron carbide (B4C) (dense),28.451,12.9,921,7928,2400,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,boron carbide (B4C) (porous),17.154,9.32,921,5620,2000,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,boron nitride (Bn 80 C 20) (prs axis),19.037,14.8,795,4952,1620,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,boron nitride (bn 97 bn2o3 2) (prs ax),15.062,9.02,795,5015,2100,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,boron nitride (Bn 97 Bn2O3 2) (perp p),28.87,17.3,795,6943,2100,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,boron nitride (BN) (perp pr axis 95 d),32.844,19.7,795,7405,2100,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,boron nitride (BN) (prs axis 94 d),20.92,12.5,795,5910,2100,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,brass leaded,117.15,36.6,377,19365,8500,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,brass yellow (Cu65 Zn35),117.15,36.7,377,19331,8470,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,brass aluminum (Cu76 Zn22 Al2),100.42,31,377,18034,8600,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,brass cartridge (Cu70 Zn30),100.42,28,418,18976,8570,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,brass muntz metal,125.52,39.7,377,19927,8400,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,brass red cast (Cu85 Zn5 Pb5 Sn3),71.965,21.8,377,15399,8750,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,brass red wrought (Cu85 Zn15),146.44,44.4,377,21967,8750,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,brass tin (naval and admiralty),112.97,35.5,377,18972,8460,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Stone ,Thermtest,brick masonry medium,0.711,0.43,837,1091,2000,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,bromine,0.122,0.08,460,417,3100,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Gas ,Thermtest,bromine (gas),0.005,2.59,234,3,7.59,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
